N°,Match,Equipe1,Equipe2,League,Pick,Double,Prob_1,Prob_X,Prob_2,Confidence,Comment
1,Atletico Madrid vs Barcelona,Atletico Madrid,Barcelona,Spain,,,,,,,
2,Real Mallorca vs Real Madrid,Real Mallorca,Real Madrid,Spain,,,,,,,
3,Real Betis vs Espanyol,Real Betis,Espanyol,Spain,,,,,,,
4,Stuttgart vs Borussia Dortmund,Stuttgart,Borussia Dortmund,Germany,,,,,,,
5,Freiburg vs Bayern Munich,Freiburg,Bayern Munich,Germany,,,,,,,
6,Werder Bremen vs RB Leipzig,Werder Bremen,RB Leipzig,Germany,,,,,,,
7,Hamburg vs Augsburg,Hamburg,Augsburg,Germany,,,,,,,
8,Hoffenheim vs Mainz,Hoffenheim,Mainz,Germany,,,,,,,
9,Strasbourg vs Nice,Strasbourg,Nice,France,,,,,,,
10,Brest vs Stade Rennais,Brest,Stade Rennais,France,,,,,,,
11,Lille vs Lens,Lille,Lens,France,,,,,,,
12,Lazio vs Parma,Lazio,Parma,Italy,,,,,,,
13,Verona vs Fiorentina,Verona,Fiorentina,Italy,,,,,,,
