N°,Equipe1,Equipe2,Bookmaker_1,Bookmaker_X,Bookmaker_2,BeSoccer_1,BeSoccer_X,BeSoccer_2,Opta_1,Opta_X,Opta_2,WEBPRONOSTICI_1X2,WEBPRONOSTICI_SCORE,League,Match
1,Atletico Madrid,Barcelona,3.19,3.84,2.27,25,21,54,32,24,42,12,3-1,Spain,Atletico Madrid vs Barcelona
2,Real Mallorca,Real Madrid,5.64,4.48,1.63,9,17,73,20,22,57,12,1-2,Spain,Real Mallorca vs Real Madrid
3,Real Betis,Espanyol,1.75,4.32,4.73,62,21,17,54,23,22,1X,2-2,Spain,Real Betis vs Espanyol
4,Stuttgart,Borussia Dortmund,2.39,4.12,2.83,29,23,48,41,23,35,12,2-1,Germany,Stuttgart vs Borussia Dortmund
5,Freiburg,Bayern Munich,7.11,5.64,1.43,8,13,78,16,19,63,2,1-2,Germany,Freiburg vs Bayern Munich
6,Werder Bremen,RB Leipzig,3.7,4.07,2.0,22,23,54,29,24,46,2,1-2,Germany,Werder Bremen vs RB Leipzig
7,Hamburg,Augsburg,2.34,3.52,3.3,43,25,32,42,26,31,X2,1-1,Germany,Hamburg vs Augsburg
8,Hoffenheim,Mainz,1.78,4.27,4.57,46,23,31,52,23,24,1,2-1,Germany,Hoffenheim vs Mainz
9,Strasbourg,Nice,1.9,3.76,4.47,57,22,20,50,24,24,1,2-1,France,Strasbourg vs Nice
10,Brest,Stade Rennais,3.21,3.64,2.33,29,24,46,32,26,41,12,2-1,France,Brest vs Stade Rennais
11,Lille,Lens,2.75,3.43,2.77,39,25,35,36,27,35,2X,1-2,France,Lille vs Lens
12,Lazio,Parma,1.88,3.56,4.91,68,18,13,52,26,21,12,2-1,Italy,Lazio vs Parma
13,Verona,Fiorentina,4.3,3.62,1.98,21,24,55,25,26,48,2,0-3,Italy,Verona vs Fiorentina
